"COMPANY NAME","AUDITED / UNAUDITED","CUMULATIVE / NON-CUMULATIVE","CONSOLIDATED / NON-CONSOLIDATED","IND AS/ NON IND AS","PERIOD","PERIOD ENDED","RELATING TO","** XBRL","Exchange Received Time","Exchange Dissemination Time","Time Taken"
"Zomato Limited","Un-Audited","Non-cumulative","Non-Consolidated","Ind-AS New","Quarterly","30-Sep-2022","Second Quarter","https://nsearchives.nseindia.com/corporate/xbrl/INDAS_859092_6526_11112022152909_WEB.xml","11-Nov-2022 15:29:09","11-Nov-2022 15:30:46","00:01:37"
"Zomato Limited","Un-Audited","Non-cumulative","Non-Consolidated","Ind-AS New","Quarterly","30-Jun-2022","First Quarter","https://nsearchives.nseindia.com/corporate/xbrl/INDAS_621104_4038_02082022124450_WEB.xml","02-Aug-2022 12:44:50","02-Aug-2022 12:48:13","00:03:23"
"Zomato Limited","Un-Audited","Non-cumulative","Consolidated","Ind-AS New","Quarterly","30-Jun-2022","First Quarter","https://nsearchives.nseindia.com/corporate/xbrl/INDAS_621105_4038_02082022124450_WEB.xml","02-Aug-2022 12:44:50","02-Aug-2022 12:48:12","00:03:22"
"Zomato Limited","Audited","Non-cumulative","Consolidated","Ind-AS New","Quarterly","31-Mar-2022","Fourth Quarter","https://nsearchives.nseindia.com/corporate/xbrl/INDAS_85187_659384_24052022043331_WEB.xml","24-May-2022 16:33:32","24-May-2022 16:36:08","00:02:36"
"Zomato Limited","Audited","Non-cumulative","Non-Consolidated","Ind-AS New","Quarterly","31-Mar-2022","Fourth Quarter","https://nsearchives.nseindia.com/corporate/xbrl/INDAS_85186_659376_24052022043030_WEB.xml","24-May-2022 16:30:32","24-May-2022 16:34:10","00:03:38"
"Zomato Limited","Un-Audited","Non-cumulative","Consolidated","Ind-AS New","Quarterly","31-Dec-2021","Third Quarter","https://nsearchives.nseindia.com/corporate/xbrl/INDAS_82126_607299_11022022123943_WEB.xml","11-Feb-2022 12:39:44","11-Feb-2022 12:42:10","00:02:26"
"Zomato Limited","Un-Audited","Non-cumulative","Non-Consolidated","Ind-AS New","Quarterly","31-Dec-2021","Third Quarter","https://nsearchives.nseindia.com/corporate/xbrl/INDAS_82124_607292_11022022123628_WEB.xml","11-Feb-2022 12:36:29","11-Feb-2022 12:40:14","00:03:45"
"Zomato Limited","Un-Audited","Non-cumulative","Consolidated","Ind-AS New","Quarterly","30-Sep-2021","Second Quarter","https://nsearchives.nseindia.com/corporate/xbrl/INDAS_78443_554798_11112021062447_WEB.xml","11-Nov-2021 18:24:48","11-Nov-2021 18:28:06","00:03:18"
"Zomato Limited","Un-Audited","Non-cumulative","Non-Consolidated","Ind-AS New","Quarterly","30-Sep-2021","Second Quarter","https://nsearchives.nseindia.com/corporate/xbrl/INDAS_78436_554769_11112021061316_WEB.xml","11-Nov-2021 18:13:16","11-Nov-2021 18:16:07","00:02:51"
"Zomato Limited","Un-Audited","Non-cumulative","Consolidated","Ind-AS New","Quarterly","30-Jun-2021","First Quarter","https://nsearchives.nseindia.com/corporate/xbrl/INDAS_74719_502902_11082021121324_WEB.xml","11-Aug-2021 12:13:24","11-Aug-2021 12:16:13","00:02:49"
"Zomato Limited","Un-Audited","Non-cumulative","Non-Consolidated","Ind-AS New","Quarterly","30-Jun-2021","First Quarter","https://nsearchives.nseindia.com/corporate/xbrl/INDAS_74710_502870_11082021115524_WEB.xml","11-Aug-2021 11:55:25","11-Aug-2021 11:58:12","00:02:47"
